Year,Ticker,Name,Currency,CurrentAssets,AmortizationGoodwill,AccountsPayable,Assets,AverageShortTermRate,BVPS,CapitalizedSoftware,CommonEquity,Cash,CashDelta,CNI,ContingentLiabilities,COGS,CommonSharesIssued,CommonSharesOutstanding,CommonShareholders,CommonCapital,CapitalizedLeases,DebtSeniorConvertible,DebtSubordinatedConvertible,DebtIssuance,DebtTiedtoPrime,Debt,AccumulatedDepreciation,CashDividends,DividendsCommon,DividendsPreferred,Dividends,EBITDA,EBIT,Employees,DilutedEPS,ForeignExchange,FinancingActivities,Goodwill,GoodwillAmortization,Gain/LossPretax,GrossProfit,InvestmentBankingIncome,InvestedCapital,InterestIncome,Intangibles,InterestCapitalized,Inventories,InvestingActivities,CurrentLiabilities,Liabilities,NI,OperatingIncome,PTI,PPEGross,PPENet,PreferredStock,Provisions,RetainedEarnings,Receivables,Revenue,Sales,SaleofCommonStock,Equity,SaleofProperty,IncomeTaxes,NetDeferredTaxAsset,NetDeferredTaxLiability,IncomeTaxesPayable,IncomeTaxesPaid,IncomeTaxRefund,Taxes,PreferredStockatCarryingValue,WorkingCapital,OperatingExpenses,PrepaidExpenses,RetirementExpenses,RDExpenses,SGA Expenses,StaffExpense,Expense,UnderwritingExpense,DividendsperShare,PriceClose,SIC,Industry,State/Province,WebURL
1975,BPOP,Popular Inc,USD,0,0,1022.71,1130.06,0,30.8,0,80.08,273.36,0,0,0,36.31,0,2.6,0,26,0,0,0,0,0,11.04,0,0,2.88,0,2.88,18.99,18.99,0,3.36,0,0,0,0,0,54.61,0,91.12,0,0,0,0,0,0,1049.98,8.74,18.99,9.84,0,0,0,0,27.58,547.29,90.92,90.92,0,80.08,0,0,0,0,0,0,0,1.09,0,0,71.92,0,0,0,35.62,0,0,0,1.11,15.75,6021,National Commercial Banks,PR,www.popular.com
1976,BPOP,Popular Inc,USD,0,0,1207.73,1334.28,0,31.59,0,85.3,236.11,0,0,0,37.1,0,2.7,0,27,0,0,0,0,0,9.42,0,0,3.12,0,3.12,23.43,23.43,2.14,3.09,0,0,0,0,0,57.72,0,94.72,0,0,0,0,0,0,1248.97,8.34,23.43,10.07,0,0,0,0,30.8,589.88,94.82,94.82,0,85.3,0,0,0,0,0,0,0,1.74,0,0,71.39,0,0,0,34.29,0,0,0,1.16,16.25,6021,National Commercial Banks,PR,www.popular.com
1977,BPOP,Popular Inc,USD,0,0,1329.81,1471.59,0,31.98,0,89.55,313.3,0,0,0,45.05,0,2.8,0,28,0,0,0,0,0,8.75,0,0,3.94,0,3.94,24.42,24.42,2.2,3.09,0,0,0,0,0,60.9,0,98.3,0,0,0,0,0,0,1382.03,8.65,24.42,11.37,0,0,0,0,33.05,621.42,105.95,105.95,0,89.55,0,0,0,0,0,0,0,2.72,0,0,81.53,0,0,0,36.48,0,0,0,1.41,17,6021,National Commercial Banks,PR,www.popular.com
1978,BPOP,Popular Inc,USD,0,0,1792.36,2105.53,0,33.96,0,98.48,514.09,0,0,0,73.19,0,2.9,0,29,0,0,0,0,0,26.85,0,0,3.64,0,3.64,36.11,36.11,3.22,4.33,0,0,0,0,0,88.89,0,125.33,0,0,0,0,0,0,2007.05,12.57,36.11,16.13,0,0,0,0,37.97,904.28,162.08,162.08,0,98.48,0,0,0,0,0,0,0,3.57,0,0,125.97,0,0,0,52.78,0,0,0,1.26,21.5,6021,National Commercial Banks,PR,www.popular.com
1979,BPOP,Popular Inc,USD,0,0,2045.84,2471.99,0,37.48,0,112.45,846.99,0,0,0,111.38,0,3,1.93,30,0,0,0,0,0,24.43,0,0,4.21,0,4.21,46.49,46.49,3.34,6.06,0,0,0,0,0,112.18,0,136.88,0,0,0,0,0,0,2359.55,18.18,46.49,23.34,0,0,0,0,46.94,962.53,223.56,223.56,0,112.45,0,0,0,0,0,0,0,5.17,0,0,177.07,0,0,0,65.69,0,0,0,1.4,22,6021,National Commercial Banks,PR,www.popular.com
1980,BPOP,Popular Inc,USD,0,0,2060.55,2630.13,0,40.7,0,122.11,988.23,0,0,0,148.54,0,3,1.97,30,0,0,0,0,0,30.99,0,0,4.8,0,4.8,0,56.02,3.48,7.82,0,0,0,0,0,131.18,0,153.09,0,0,0,0,0,0,2508.02,23.46,56.02,29.87,0,0,0,0,51.61,974.24,279.72,279.72,0,122.11,0,0,0,0,0,0,0,6.41,0,0,223.7,0,0,0,75.16,0,0,0,1.6,22.5,6021,National Commercial Banks,PR,www.popular.com
1981,BPOP,Popular Inc,USD,0,0,2111.73,2688.73,0,31.62,0,142.31,1127.66,0,0,0,201.27,0,4.5,2.08,45,0,0,0,0,0,28.52,0,0,4.05,0,4.05,0,58.05,3.5,5.39,0,0,0,0,0,139.69,0,170.83,0,0,0,0,0,0,2546.41,24.25,58.05,30.3,0,0,0,0,41.81,1002.34,340.97,340.97,0,142.31,0,0,0,0,0,0,0,6.05,0,0,282.92,0,0,0,81.65,0,0,0,0.9,14.75,6021,National Commercial Banks,PR,www.popular.com
1982,BPOP,Popular Inc,USD,0,0,2208.17,2727.04,0,36.34,0,163.52,1039.68,0,0,0,184.04,0,4.5,2.15,45,0,0,0,0,0,26.08,0,0,6.08,0,6.08,0,66.42,3.48,6.06,0,0,0,0,0,155.56,0,189.6,0,0,0,0,0,0,2563.52,27.28,66.42,34.37,0,0,0,0,53.02,958.5,339.6,339.6,0,163.52,0,0,0,0,0,0,0,7.09,0,0,273.18,0,0,0,89.14,0,0,0,1.35,22,6021,National Commercial Banks,PR,www.popular.com
1983,BPOP,Popular Inc,USD,0,0,2347.45,2974.09,0,40.5,0,182.23,1134.35,0,0,0,135.87,0,4.5,2.23,45,0,0,0,0,0,23.77,0,0,8.1,0,8.1,0,63.64,4.29,5.96,0,0,0,0,0,159.42,0,206,0,0,0,0,0,0,2791.85,26.81,63.64,32.1,0,0,0,0,61.73,1056.42,295.3,295.3,0,182.23,0,0,0,0,0,0,0,5.29,0,0,231.66,0,0,0,95.79,0,0,0,1.8,26.5,6021,National Commercial Banks,PR,www.popular.com
1984,BPOP,Popular Inc,USD,0,0,2870.67,3526.72,0,45.22,0,203.51,1467.34,0,0,0,177.71,0,4.5,0,45,0,0,0,0,0,21.52,0,0,8.55,0,8.55,0,70.72,4.58,6.63,0,0,0,0,0,171.91,0,225.03,0,0,0,0,0,0,3323.21,29.83,70.72,34.7,0,0,0,0,68.01,1352.14,349.62,349.62,0,203.51,0,0,0,0,0,0,0,4.88,0,0,278.9,0,0,0,101.18,0,0,0,1.9,35.5,6021,National Commercial Banks,PR,www.popular.com
1985,BPOP,Popular Inc,USD,0,0,3365.26,4141.73,0,25.16,0,226.4,1683.58,0,0,0,189.22,0,9,2.28,45,0,0,0,0,0,18.81,0,0,10.04,0,10.04,80.31,80.31,3.8,3.66,0,0,0,0,0,194.61,0,245.21,0,0,0,0,0,0,3915.33,32.93,80.31,38.57,0,0,0,0,75.9,1691.3,383.83,383.83,0,226.4,0,0,0,0,0,0,0,5.64,0,0,303.51,0,0,0,114.29,0,0,0,1.12,24,6021,National Commercial Banks,PR,www.popular.com
1986,BPOP,Popular Inc,USD,0,0,3820.22,4531.79,0,28.3,0,283.04,1480.69,0,0,0,194.81,0,10,3.07,50,0,0,0,0,0,7.3,0,0,11.64,0,11.64,96.58,96.58,3.92,4.03,0,0,0,0,0,213.98,0,290.35,0,0,0,1.11,0,0,4248.75,38.28,96.58,45.54,0,0,0,0,81.04,2243.81,408.79,408.79,0,283.04,0,0,0,0,0,0,0,7.26,0,0,312.21,0,-0.06,0,117.4,0,0,0,1.22,32,6021,National Commercial Banks,PR,www.popular.com
1987,BPOP,Popular Inc,USD,0,0,4491.61,5389.62,0,30.82,0,308.18,1640.04,0,0,0,226.3,0,10,3.06,50,0,0,0,0,0,32.53,0,0,13.2,0,13.2,103.65,103.65,0,3.83,0,0,0,0,0,230.45,0,340.72,0,0,0,1.09,0,0,5081.44,38.34,103.65,44.78,0,0,0,0,86.18,2739.12,456.75,456.75,0,308.18,0,0,0,0,0,0,0,6.44,0,0,353.11,0,0.25,0,126.8,0,0,0,1.32,26.75,6021,National Commercial Banks,PR,www.popular.com
1988,BPOP,Popular Inc,USD,0,0,4715.84,5706.51,0,34.19,0,341.85,1618.03,0,0,0,300.93,0,10,3.01,50,0,0,0,0,0,38.43,0,0,13.7,0,13.7,114.88,114.88,2.1,4.74,0,0,0,0,0,251.3,0,380.28,0,0,0,1.18,0,0,5364.66,47.37,114.88,55.72,0,0,0,0,89.85,3062.15,552.23,552.23,0,341.85,0,0,0,0,0,0,0,8.35,0,0,437.35,0,0.34,0,136.42,0,0,0,1.37,35.5,6021,National Commercial Banks,PR,www.popular.com
1989,BPOP,Popular Inc,USD,0,0,4926.3,5972.66,0,19.11,0,382.95,1156.33,0,0,0,351.39,0,20.04,3.11,100.19,0,0,0,0,0,95.18,0,0,16.01,0,16.01,134.14,134.14,5.21,2.82,0,0,0,0,0,280.08,0,478.14,0,0,0,1.46,0,0,5589.71,56.33,134.14,67.7,0,0,0,0,70.17,3278.48,631.47,631.47,0,382.95,0,0,0,0,0,0,0,11.36,0,0,497.34,0,-0.12,0,145.95,0,0,0,0.8,21.5,6021,National Commercial Banks,PR,www.popular.com
1990,BPOP,Popular Inc,USD,0,0,7422.71,8983.62,0,19.67,0,588.88,1280.59,0,0,0,334.59,0,29.94,5.54,179.66,0,0,0,0,0,132.02,0,0,16.07,0,16.07,141.65,141.65,6.97,3.15,0,0,0,0,0,302.17,0,731.9,0,133.05,0,6.75,0,0,8383.74,63.37,141.65,72.61,0,0,0,0,133.18,5283.96,636.76,636.76,0,588.88,0,0,0,0,0,0,0,9.24,0,0,495.11,0,-0.52,0,160.52,0,0,0,0.8,16,6021,National Commercial Banks,PR,www.popular.com
1991,BPOP,Popular Inc,USD,0,0,7207.12,8780.28,0,20.99,0,631.82,791.02,0,0,0,508.82,0,30.09,5.24,180.56,0,0,0,0,0,195.94,0,0,24.03,0,24.03,192.02,192.02,6.86,2.15,0,0,0,0,0,417.9,0,838.76,0,138.73,0,7.01,0,0,8137.46,64.56,192.02,72.16,0,0,0,0,163.72,5101.36,926.72,926.72,0,631.82,0,0,0,0,0,0,0,6.79,0,0,734.7,0,0.01,0,225.89,0,0,0,0.8,19.25,6021,National Commercial Banks,PR,www.popular.com
1992,BPOP,Popular Inc,USD,0,0,8038.71,10002.3,0,23.03,0,752.12,609.76,0,0,0,397.77,0,32.66,5.4,195.93,0,0,0,0,0,178.99,0,0,24.62,0,24.62,229.6,229.6,6.97,2.79,0,0,0,0,0,467.09,0,942.11,0,132.88,0,15.58,0,0,9239.21,85.12,229.6,100.15,0,0,0,0,194.21,5141.34,864.86,864.86,0,752.12,0,0,0,0,0,0,0,14.26,0,0,635.26,0,0.12,0,237.49,0,0,0,0.8,30.25,6021,National Commercial Banks,PR,www.popular.com
1993,BPOP,Popular Inc,USD,0,0,8522.66,11513.3,0,25.49,0,834.2,631.27,0,0,0,352.9,0,32.73,5.31,196.4,0,0,0,0,0,345.86,0,0,29.43,0,29.43,230.97,274.46,7.44,3.35,0,0,0,0,0,544.42,0,1191.05,0,132.75,0,12.7,0,0,10668.1,109.4,274.46,132.14,0,0,0,0,251.18,6213.49,897.32,897.32,0,834.2,0,0,0,0,0,0,0,28.15,0,0,622.86,0,0.27,0,269.96,0,0,0,0.9,31,6021,National Commercial Banks,PR,www.popular.com
1994,BPOP,Popular Inc,USD,0,0,9012.43,12778.4,0,27.48,0,902.42,707.42,0,0,0,405.42,0,32.84,5.24,197.03,0,0,0,0,0,539.52,0,0,32.8,4.25,37.04,276.71,333.36,7.55,3.67,0,0,0,0,0,623.02,0,1541.95,0,128.73,0,20.69,0,0,11775.9,124.75,333.36,175.18,0,0,0,0,295.95,7627.53,1028.44,1028.44,0,1002.42,0,0,0,0,0,0,0,50.04,0,0,695.08,0,1.86,0,289.66,0,0,0,1,28.13,6021,National Commercial Banks,PR,www.popular.com
1995,BPOP,Popular Inc,USD,0,0,9876.66,15675.5,0,31.62,0,1041.7,1254.69,0,0,0,586.18,0,32.95,5.38,197.69,0,0,0,0,0,935.43,0,0,37.85,8.35,46.2,304.81,369.46,7.68,4.19,0,0,0,0,0,692.96,0,2077.12,0,142.98,0,120.61,0,0,14533.8,146.36,369.46,206.13,0,0,0,0,416.72,8509.09,1279.15,1279.15,0,1141.7,0,0,0,0,0,0,0,59.77,0,0,909.68,0,7.9,0,323.5,0,0,0,1.15,38.75,6021,National Commercial Banks,PR,www.popular.com
1996,BPOP,Popular Inc,USD,0,0,10763.3,16764.1,0,17.59,0,1162.53,1289.99,0,0,0,680.38,0,66.09,5.63,396.53,0,0,0,0,0,1141.71,0,0,45.56,8.35,53.91,373.31,439.84,8,2.68,0,0,0,0,0,797.95,0,2404.25,0,131.25,0,261.21,0,0,15501.6,185.15,439.84,256.03,0,0,0,0,269.42,9593.45,1478.33,1478.33,0,1262.53,0,0,0,0,0,0,0,70.88,0,0,1038.48,0,6.84,0,358.1,0,0,0,0.69,33.75,6021,National Commercial Banks,PR,www.popular.com
1997,BPOP,Popular Inc,USD,0,0,11749.6,19300.5,0,21.04,0,1403.09,1274.97,0,0,0,817.96,0,66.69,6.04,412.03,0,0,0,0,0,1678.7,0,0,53.68,8.35,62.03,430.59,507.99,8.85,3,0,0,0,0,0,920.95,0,3181.79,0,232.59,0,283.22,0,0,17797.4,209.57,507.99,284.03,0,0,0,0,428.6,11164.93,1738.9,1738.9,0,1503.09,0,0,0,0,0,0,0,74.46,0,0,1230.91,0,3.7,0,412.96,0,0,0,0.8,49.5,6021,National Commercial Banks,PR,www.popular.com
1998,BPOP,Popular Inc,USD,0,0,13672.21,23160.36,0,11.86,0,1609.11,1615.34,0,0,0,915.9,137.62,135.64,10.45,825.69,0,0,0,0,0,1580.24,0,0,67.77,8.35,76.12,475.23,565.74,10.55,1.65,0,0,0,0,0,1027.05,0,3316.94,0,274.29,0,676.85,0,0,21423.65,232.35,565.74,306.69,0,0,0,0,606.19,12167.39,1942.95,1942.95,0,1709.11,0,0,0,0,0,0,0,74.67,0,0,1377.21,0,8.71,0,461.31,0,0,0,0.5,34,6021,National Commercial Banks,PR,www.popular.com
1999,BPOP,Popular Inc,USD,0,0,14173.72,25460.54,0,11.51,0,1560.99,1649.17,0,0,0,1046.88,137.94,135.65,9.13,827.66,0,0,0,0,0,2127.6,0,0,81.39,8.35,89.74,538.75,641.86,11.5,1.84,0,0,0,0,0,1177.71,0,3811.2,0,304.79,0,648.57,0,0,23776.94,257.56,641.86,340.22,0,0,0,0,553.59,13996.45,2224.59,2224.59,0,1660.99,0,0,0,0,0,0,0,85.12,0,0,1582.72,0,-7.3,0,535.84,0,0,0,0.6,27.94,6021,National Commercial Banks,PR,www.popular.com
2000,BPOP,Popular Inc,USD,0,0,14804.91,28057.05,0,13.92,0,1893.64,1794.28,0,0,0,1362.04,138.39,136,9.06,830.36,0,0,0,0,0,1451.91,0,0,86.97,8.35,95.32,572.6,684,10.65,1.97,0,0,0,0,0,1243.92,0,3446.48,0,281.6,0,847.42,0,0,26062.48,276.1,684,375.75,0,0,0,0,868.52,14942.53,2605.96,2605.96,0,1993.64,0,0,0,0,0,0,0,100.8,0,0,1921.95,0,-9.95,0,559.92,0,0,0,0.64,26.31,6021,National Commercial Banks,PR,www.popular.com
2001,BPOP,Popular Inc,USD,0,0,16370.04,30744.68,0,-1.67,0,2172.82,1429.53,0,0,0,1232.13,138.75,136.36,10.86,832.5,0,0,0,0,0,4009.21,0,0,103.55,8.35,111.9,631.23,734.63,11.33,2.17,0,0,0,0,0,1329.25,0,6282.94,0,258.66,0,971.02,0,0,28470.95,304.54,734.63,409.11,0,0,0,0,1137.91,16892.43,2561.38,2561.38,0,2272.82,0,0,0,0,0,0,0,105.28,0,0,1826.75,0,-0.35,0,594.63,0,0,0,0.76,29.08,6021,National Commercial Banks,PR,www.popular.com
2002,BPOP,Popular Inc,USD,0,0,17614.74,33660.35,0,18.2,0,2410.88,1747.05,0,0,0,1049.04,139.13,132.44,11.12,834.8,0,0,0,0,0,4567.85,0,0,106.71,2.51,109.22,745.12,828.39,10.96,2.61,0,0,182.97,16.53,3.7,1494.74,0,6979.89,0,217.61,0,1132.33,0,0,31248.31,351.93,828.39,469.44,0,0,0,0,1502.92,18116.4,2543.78,2543.78,0,2410.88,0,0,0,0,0,0,0,117.26,0,0,1715.38,0,9.33,0,666.34,0,0,0,0.8,33.8,6021,National Commercial Banks,PR,www.popular.com
2003,BPOP,Popular Inc,USD,0,0,18097.83,36434.72,0,19.32,0,2567.54,1460.92,0,0,0,945.49,139.59,132.89,10.06,837.57,0,0,0,0,0,5712.05,0,0,134.08,9.92,144,919.01,999.86,11.47,3.47,0,0,191.49,0,0,1714.76,0,8466.57,0,218.88,0,325.49,0,0,33680.19,470.92,999.86,601.68,0,0,0,0,1620.87,21922.06,2660.25,2660.25,0,2754.42,0,0,0,0,0,0,0,130.33,0,0,1660.38,0,18.99,0,714.9,0,0,0,1.01,44.85,6021,National Commercial Banks,PR,www.popular.com
2004,BPOP,Popular Inc,USD,0,0,20593.16,44401.58,0,10.95,0,2917.75,1596.1,28.37,0,0,1019.41,280.02,266.58,10.49,1680.1,0,0,0,2519.77,0,8250.52,0,168.93,163.79,11.91,175.7,953.85,1035.96,12.14,1.79,0,5378.85,411.31,0,0,1805.63,0,11355.24,0,450.41,0,810.45,-5493.42,0,41296.85,489.91,1035.96,634.61,0,0,0,0,1165.25,27554.45,2825.04,2825.04,0,3104.62,34.85,0,273.94,57.2,0,0,0,144.71,0,0,1789.07,0,19.55,0,769.66,0,0,0,0.62,28.83,6021,National Commercial Banks,PR,www.popular.com
2005,BPOP,Popular Inc,USD,0,0,22638.01,48623.67,0,11.82,0,3262.37,1655.82,189.94,0,0,1436.92,289.41,275.96,10.82,1736.44,0,0,0,0,0,6869.59,0,182.75,170.97,11.91,182.88,1067.33,1158.86,13.21,1.97,0,2532.78,653.98,0,0,2014.21,0,10318.95,0,905.68,0,778.19,-3410.85,0,45174.31,540.7,1158.86,686.01,0,0,0,0,1280.61,30549.32,3451.13,3451.13,0,3449.25,71.05,0,360.16,58.39,0,0,0,148.92,0,0,2292.28,153.4,21.12,0,855.35,0,0,0,0.64,21.15,6021,National Commercial Banks,PR,www.popular.com
2006,BPOP,Popular Inc,USD,0,0,24438.33,47403.99,0,12.32,0,3433.43,1251.87,43.76,0,0,1924.29,292.19,278.74,10.54,1753.15,0,0,0,1506.3,0,5900.96,0,188.32,178.23,11.91,190.14,878.52,1028.35,12.51,1.24,0,-2132.51,667.85,0,0,1949.64,0,9521.37,0,940.41,0,391.14,1318.34,0,43783.57,357.68,1028.35,464.56,0,0,0,0,1360.42,31494.79,3873.93,3873.93,0,3620.31,87.91,0,437.03,77.58,0,0,0,106.89,0,0,2845.58,168.72,35.23,0,921.29,0,0,0,0.64,17.95,6021,National Commercial Banks,PR,www.popular.com
2007,BPOP,Popular Inc,USD,0,0,28334.48,44411.44,0,12.12,0,3395.01,1825.54,-131.33,0,0,2241.43,293.65,280.03,10.49,1761.91,0,0,0,1425.22,0,4557.66,0,190.62,178.94,11.91,190.85,533.46,683.57,12.3,-0.27,0,-1259.24,630.76,0,0,1581.06,0,8139.65,0,896.91,0,1970.96,423.95,0,40829.45,-64.49,683.57,-123.5,0,0,0,0,1272.66,27472.62,3822.49,3822.49,0,3581.88,63.46,0,601.96,81.99,0,160.27,0,-59,0,0,3138.91,188.24,19.88,0,897.48,0,0,0,0.64,10.6,6021,National Commercial Banks,PR,www.popular.com
2008,BPOP,Popular Inc,USD,0,0,27550.21,38882.77,0,6.19,0,1784.84,1579.64,-33.84,0,0,1986.3,295.63,282.01,10.43,1773.79,0,0,0,1028.1,0,3869.94,0,188.64,134.92,35.3,170.22,140.62,277.4,10.59,-4.55,0,-3971.55,605.79,0,0,1117.79,0,7138.41,0,839.26,0,625.78,2680.2,0,35614.3,-1243.9,277.4,-218.93,0,0,0,0,-403.32,24850.07,3104.1,3104.1,0,3268.36,60.06,0,490.96,133.59,0,81.12,0,461.53,0,0,2826.7,136.24,23.6,0,840.4,0,0,0,0.48,5.16,6021,National Commercial Banks,PR,www.popular.com
2009,BPOP,Popular Inc,USD,0,0,25924.89,34736.33,0,3.89,0,2488.66,1680.13,-107.66,-574.3,0,2159.55,639.55,639.54,10.56,6.4,0,0,0,60.68,0,3415.11,0,71.44,5.64,-671.3,-665.66,-260.77,-153.88,9.41,0.24,0,-3390.96,604.35,0,0,591.95,0,5953.93,0,820.66,0,216.28,2654.4,0,32197.51,-573.92,-153.88,-562.25,0,0,0,0,-321.96,22451.91,2751.5,2751.5,0,2538.82,40.24,0,435.82,71.85,0,23.62,0,-8.3,0,0,2905.38,337.07,29.25,0,745.83,0,0,0,0.02,2.26,6021,National Commercial Banks,PR,www.popular.com
2010,BPOP,Popular Inc,USD,0,0,26762.2,38722.96,0,3.67,0,3750.37,1431.67,-224.96,160.65,0,1665.26,1022.93,1022.73,10.39,10.23,0,0,0,111.1,0,2657.83,0,0.31,0,191.98,191.98,146.09,214.12,8.28,-0.06,0,-4465.25,647.39,0,640.8,930.38,0,6458.36,0,872.99,0,1113,4077.13,0,34922.43,137.4,214.12,245.63,0,0,0,0,-353.29,24771.69,2595.64,2595.64,0,3800.53,14.46,0,544.79,167.5,0,41.05,0,108.23,0,0,2381.51,222.66,13.95,0,716.25,0,0,0,0,3.14,6021,National Commercial Banks,PR,www.popular.com
